Full company name,Payments to Governments Report_x,Country,Year,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report_y,ISO Code,Start Date,End Date
MOHAMMAD OMAR NOORZAI LIMITED,78717057.0,Afghanistan,2019,Private,9002253681,Other,coal,Not applicable,Not available,78717057,AFG,2018-12-21,2019-12-20
MOHIB NAJIB LIMITED,35519.0,Afghanistan,2019,Private,1001603081,Other,Talc,Not applicable,Not available,35519,AFG,2018-12-21,2019-12-20
MOHIBULLAH SAFI BROTHERS LIMITED,12813587.0,Afghanistan,2019,Private,9001125161,Other,Talc,Not applicable,Not available,12813587,AFG,2018-12-21,2019-12-20
NADEEM AHMAD ARABZAI LIMITED,12920249.0,Afghanistan,2019,Private,9005956751,Other,coal,Not applicable,Not available,12920249,AFG,2018-12-21,2019-12-20
NAJIB FAHIM LIMITED,21908137.0,Afghanistan,2019,Private,1001561081,Other,coal,Not applicable,Not available,21908137,AFG,2018-12-21,2019-12-20
"NANGARHAR AFGHAN TALC, MINES EXTRACTION AND PROCESSING COMPANY",1779074.0,Afghanistan,2019,Private,9003100576,Other,Talc,Not applicable,Not available,1779074,AFG,2018-12-21,2019-12-20
NASEEB USMAN LIMITED,24083882.0,Afghanistan,2019,Private,9005408225,Other,coal,Not applicable,Not available,24083882,AFG,2018-12-21,2019-12-20
NASIM AFGHAN LIMITED,685537.0,Afghanistan,2019,Private,9000811860,Other,coal,Not applicable,Not available,685537,AFG,2018-12-21,2019-12-20
NATURAL SARF STONE PROCESSING COMPANY,22000.0,Afghanistan,2019,,,,,,,,,,
NATURAL STONE COMPANY,36820.0,Afghanistan,2019,Private,9001663419,Other,"Travertine, Marble",Not applicable,Not available,36820,AFG,2018-12-21,2019-12-20
NAUMAN AADIL LIMITED,781970.0,Afghanistan,2019,,,,,,,,,,
NAUMAN ROMAAN SHERZAD LIMITED,2775822.0,Afghanistan,2019,,,,,,,,,,
NAVAY SANGAR ZADRAN LIMITED,1517565.0,Afghanistan,2019,,,,,,,,,,
NAVID ALI SHAH TRADING COMPANY,259634.0,Afghanistan,2019,,,,,,,,,,
NEFT AND GAZ QASHQARI COMPANY,1387707.0,Afghanistan,2019,Private,1000835163,Other,"Oil, Gas",Not applicable,Not available,1387707,AFG,2018-12-21,2019-12-20
NEK HAKIMZADA LIMITED,38034081.0,Afghanistan,2019,Private,1009848019,Other,coal,Not applicable,Not available,38034081,AFG,2018-12-21,2019-12-20
NOOR ABAS KHOSHIWAL LIMITED,47618312.0,Afghanistan,2019,Private,1005744162,Other,coal,Not applicable,Not available,47618312,AFG,2018-12-21,2019-12-20
NORTH COAL ENTERPRISE (NCE),2508744444.0,Afghanistan,2019,Private,9000453812,Mining,Coal,Not applicable,https://momp.gov.af/soes,2508744444,AFG,2018-12-21,2019-12-20
OMAR ATTA LIMITED,10120289.0,Afghanistan,2019,,,,,,,,,,
OMAR FAROOQ TALC PROCESSING COMPANY,1647459.0,Afghanistan,2019,Private,1002682084,Other,talc,Not applicable,Not available,1647459,AFG,2018-12-21,2019-12-20
OMID SABAWOON SAND AND GRAVEL PRODUCTION COMPANY,1000.0,Afghanistan,2019,,,,,,,,,,
PAIGHAM IRSHAAD LIMITED,167393.0,Afghanistan,2019,,,,,,,,,,
PAIK PARAMOUNT COMPANY,15000.0,Afghanistan,2019,Private,9007442172,Other,Marble,Not applicable,Not available,15000,AFG,2018-12-21,2019-12-20
PAK ITTIFAQ LIMITED,5562598.0,Afghanistan,2019,,,,,,,,,,
PAYAM RAH E FARDA LIMITED,111008.0,Afghanistan,2019,,,,,,,,,,
RAFIULLAH NASIR KARIMI LIMITED,742144.0,Afghanistan,2019,Private,9006053806,Other,coal,Not applicable,Not available,742144,AFG,2018-12-21,2019-12-20
RAHIMI NEKA BROTHERS LIMITED,26432745.0,Afghanistan,2019,,,,,,,,,,
RAHMAN ULLAH SPEENGHAR LIMITED,814913.0,Afghanistan,2019,,,,,,,,,,
RASTAMKHIL DAWOLATZAI CO,15000.0,Afghanistan,2019,Private,9007549893,Other,Construction stone,Not applicable,Not available,15000,AFG,2018-12-21,2019-12-20
SAHIL BILAL LIMITED,55239442.0,Afghanistan,2019,Private,1010199089,Other,coal,Not applicable,Not available,55239442,AFG,2018-12-21,2019-12-20
SAHIL JAMIL LIMITED,2356632.0,Afghanistan,2019,Private,9006004643,Other,coal,Not applicable,Not available,2356632,AFG,2018-12-21,2019-12-20
SAID LAIQ HUSSAIN,62276.0,Afghanistan,2019,,,,,,,,,,
SAJJAD HASHIMI LIMITED,7745703.0,Afghanistan,2019,Private,9002468529,Other,coal,Not applicable,Not available,7745703,AFG,2018-12-21,2019-12-20
SALMAN SHERZAD TALC COMPANY,394126.0,Afghanistan,2019,Private,9003579092,Other,Talc,Not applicable,Not available,394126,AFG,2018-12-21,2019-12-20
SAMIULLAH SAMI LIMITED,8745133.0,Afghanistan,2019,Private,9008000011,Other,coal,Not applicable,Not available,8745133,AFG,2018-12-21,2019-12-20
SANG SIYA AFGHANISTAN LIMITED,90617689.0,Afghanistan,2019,,,,,,,,,,
SAYAM BEHRAM LIMITED,2102871.0,Afghanistan,2019,,,,,,,,,,
SAYED HASHIM MOSAWI,10678727.0,Afghanistan,2019,Private,9005510004,Other,Coal,Not applicable,Not available,10678727,AFG,2018-12-21,2019-12-20
SAYED NASIR TRADERS,4644048.0,Afghanistan,2019,,,,,,,,,,
SEFAT ULLAH,64311.0,Afghanistan,2019,Private,9002437870,Other,Construction stone,Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
SHAIKH SAKHI KAMRAN LIMITED,300834.0,Afghanistan,2019,Private,9000840703,Other,Talc,Not applicable,Not available,300834,AFG,2018-12-21,2019-12-20
SHAMS UDDIN,129587.0,Afghanistan,2019,,,,,,,,,,
SHAMSHIR OBAID TALC PROCESSING COMPANY,11000.0,Afghanistan,2019,,,,,,,,,,
SHERBAZ ZADRAN LIMITED,24915434.0,Afghanistan,2019,Private,1010104089,Other,coal,Not applicable,Not available,24915434,AFG,2018-12-21,2019-12-20
SHERZAD ARYA MINES EXTRACTION AND PROCESSING COMPANY,7861.0,Afghanistan,2019,Private,9004125127,Other,Talc,Not applicable,Not available,7861,AFG,2018-12-21,2019-12-20
SKY HORIZON,15000.0,Afghanistan,2019,Private,9007314736,Other,Construction stone,Not applicable,Not available,15000,AFG,2018-12-21,2019-12-20
STANDARD TALC EXTRACTION AND PROCESSING COMPANY,4768058.0,Afghanistan,2019,,,,,,,,,,
TARAAJ MINES MINERAL EXTRACTION AND PROCESSING COMPANY,10329.0,Afghanistan,2019,,,,,,,,,,
TARIQ SHERZAD MARBLE EXTRACTION,8899444.0,Afghanistan,2019,Private,9002597095,Other,Talc,Not applicable,Not available,8899444,AFG,2018-12-21,2019-12-20
TAWAAN ANSAAR LIMITED,20942.0,Afghanistan,2019,Private,1027886207,Other,Talc,Not applicable,Not available,20942,AFG,2018-12-21,2019-12-20
TP AFGHANISTAN LIMITED,45303682.0,Afghanistan,2019,Private,9001205153,Other,"Oil, Gas, Condensates",Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
TURAB KHAN,40005.0,Afghanistan,2019,Private,9003151645,Other,Sand,Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
USMAN IZZAT LIMITED,112405595.0,Afghanistan,2019,,,,,,,,,,
VESTA CONSTRUCTION & CONSTRUCTION MATERIALS CO,940464.0,Afghanistan,2019,Private,1046511018,Mining,Gravel,Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
WAZIRI MINES EXTRACTION AND PROCESSING COMPANY,88288.0,Afghanistan,2019,,,,,,,,,,
WESTCO INTERNATIONAL,5172063.0,Afghanistan,2019,Private,9000512997,Other,Salt,Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
YASIR MOHMAND LIMITED,58424643.0,Afghanistan,2019,,,,,,,,,,
YUSUFI QAZIZADA SOAP AND TOMATO KETCHUP PRODUCTION COMPANY,41972.0,Afghanistan,2019,,,,,,,,,,
ZABIH ULLAH,37983.0,Afghanistan,2019,Private,9002441609,Other,Construction stone,Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
ZABIT SHAH GORBAZ LIMITED,6762819.0,Afghanistan,2019,,,,,,,,,,
ZAHID SAYED RAHMAN LIMITED,13827148.0,Afghanistan,2019,,,,,,,,,,
ZAITOON KHAN TRADING COMPANY,1714090.0,Afghanistan,2019,,,,,,,,,,
ZAKIR FAREED LIMITED,8116213.0,Afghanistan,2019,,,,,,,,,,
"احمد علی ولد خداداد, احمدعلی",38807.0,Afghanistan,2019,Private,9001263814,Other,Construction stone,Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
استحراج معادن عارف سروری ARIF SARWARI MINING CO,19455.0,Afghanistan,2019,Private,9000209180,Other,onyx,Not applicable,Not available,19455,AFG,2018-12-21,2019-12-20
استخراج سنگ های قیمتی .نیمه قبمتی گلکسی روبی GALAXY ROBY GEM STONE CO,10800.0,Afghanistan,2019,Private,9001639104,Mining,,,,10800,AFG,2018-12-21,2019-12-20
استخراج معادن آمو AMO MINING CO,4600.0,Afghanistan,2019,Private,9000345273,Mining,,,,4600,AFG,2018-12-21,2019-12-20
استخراج معادن برادران یرمی YARMI BROTHERS MINING,8980.0,Afghanistan,2019,Private,9001027920,Mining,,,,8980,AFG,2018-12-21,2019-12-20
استخراج معادن سمیرریلانس SAMEER RELANCE MINING CO,5500.0,Afghanistan,2019,Private,9001331439,Mining,,,,5500,AFG,2018-12-21,2019-12-20
استخراج معادن هیواد برادرز,798871.0,Afghanistan,2019,Private,9000036856,Other,coromait,Not applicable,Not available,798871,AFG,2018-12-21,2019-12-20
استخراج معادن یاسمین YASAMEEN MINING CO,130354.0,Afghanistan,2019,Private,9000647140,Other,quartz,Not applicable,Not available,130354,AFG,2018-12-21,2019-12-20
استخراج معدن احمدی بهسود AHMADI BEHSODI MINING CO,2000.0,Afghanistan,2019,Private,9007506547,Other,Marble,,,2000,AFG,2018-12-21,2019-12-20
استخراج معدن افغان گولد ومینرال AFGHAN GOLD MINERAL CO,200.0,Afghanistan,2019,Private,9000300724,Other,Copper,Not applicable,Not available,200,AFG,2018-12-21,2019-12-20
استخراج معدن امتیاز EMTIYAZ MINING CO,2000.0,Afghanistan,2019,Private,9000647140,Other,,,,2000,AFG,2018-12-21,2019-12-20
استخراج معدن توکل بهسودی TAWKAL BEHSODI MINING CO,3600.0,Afghanistan,2019,Private,9007449458,Mining,,,,3600,AFG,2018-12-21,2019-12-20
استخراج معدن سرزمین اریانا SARZAMEEN ARYANA MINING CO,1510.0,Afghanistan,2019,Private,9004010246,Mining,,,,1510,AFG,2018-12-21,2019-12-20
استخراج معدن سنگ دو آب SANG-E-DOAAB MINING CO,22800.0,Afghanistan,2019,Private,9005517363,Mining,,,,22800,AFG,2018-12-21,2019-12-20
استخراج معدن شعبان الحیرSHOBAN ALKHAIR MINING CO,1200.0,Afghanistan,2019,Private,9007212104,Mining,,,,1200,AFG,2018-12-21,2019-12-20
استخراج معدن عبدالمتین ستانکزی ABDUL MATEEN STANEKZAI MINING CO,12000.0,Afghanistan,2019,Private,9007483671,Other,Construction stone,Not applicable,Not available,12000,AFG,2018-12-21,2019-12-20
استخراج معدن عتیق صحرایی ATIQ SAHRAYEE MINING CO,5445.0,Afghanistan,2019,Private,9010425016,Mining,,,,5445,AFG,2018-12-21,2019-12-20
استخراج معدن قاسمی QASEMI MINING CO,10293.0,Afghanistan,2019,Private,9000289620,Mining,,,,10293,AFG,2018-12-21,2019-12-20
استخراج معدن محمد شفیق صادقیار MOHAMMAD SHAFIQ SEDIQYAR MINING,400.0,Afghanistan,2019,Private,9007500375,Other,Construction stone,Not applicable,Not available,400,AFG,2018-12-21,2019-12-20
استخراج معدن مدرن MODERN MINING CO,77985.0,Afghanistan,2019,Private,9002654805,Mining,,,,77985,AFG,2018-12-21,2019-12-20
استخراج معدن نذیرالله لودین NAZIRULLAH LODIN MINING CO,14285.0,Afghanistan,2019,Private,9007528335,Mining,,,,14285,AFG,2018-12-21,2019-12-20
استخراج معدن ویلاسیتی VELA CITY MINING CO,40150.0,Afghanistan,2019,Private,9005950374,Mining,,,,40150,AFG,2018-12-21,2019-12-20
استخراج معدن پالزا PALZA MINING CO,3200.0,Afghanistan,2019,Private,9007343982,Mining,,,,3200,AFG,2018-12-21,2019-12-20
استخراج و پروسس سنگ زرافشان سفید ZARAFSHAN-E-SAFED STONE PROCESSING CO,611500.0,Afghanistan,2019,Private,9002301225,Other,Construction stone,Not applicable,Not available,611500,AFG,2018-12-21,2019-12-20
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERAL PRO CO,24709.0,Afghanistan,2019,,,,,,,,,,
افغا ن کرستال نچرل ریسورسز AFGHAN CRISTAL NATURAL RESOURCES,3000.0,Afghanistan,2019,Private,1045784012,Mining,,,,3000,AFG,2018-12-21,2019-12-20
افغان گولد اند منرالز,6047885.0,Afghanistan,2019,Private,Not available,Other,coal,Not applicable,Not available,6047885,AFG,2018-12-21,2019-12-20
"افغان, محمد مسعود",879720.0,Afghanistan,2019,,,,,,,,,,
"باور خان, باور خان",44100.0,Afghanistan,2019,,,,,,,,,,
بلال موسی زی دمعدنی ډبرو استخراج او پروسس شرکت BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,29273036.0,Afghanistan,2019,,,,,,,,,,
بهار خروټی المونیم فابریکه BAHAR KHAROTI ALMONYAM CO,5850.0,Afghanistan,2019,Private,9006225768,Mining,,,,5850,AFG,2018-12-21,2019-12-20
بی جی پی انترنشنل افغانستان لمتد BGP INTERNATIONAL AFGHANISTAN CO,69453.0,Afghanistan,2019,Private,9000599796,Mining,,,,69453,AFG,2018-12-21,2019-12-20
تصدی سمنت جبل السراج JABALSARAJ CEMENT,1887470.0,Afghanistan,2019,State-owned enterprises & public corporations,9003212546,Mining,,,,1887470,AFG,2018-12-21,2019-12-20
تصدی کود برق بلخ KOD-E-BARQ BALK,31889270.0,Afghanistan,2019,,,,,,,,,,
جرنیل زاده تالک اومعدن داستخراج اوپروسس شرکت JARNAILZADA TALC PRO.CO,1800.0,Afghanistan,2019,Private,9004678760,Mining,,,,1800,AFG,2018-12-21,2019-12-20
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,21261814.0,Afghanistan,2019,,,,,,,,,,
"حیات الله ولد حمیدالله, حیات الله",134804.0,Afghanistan,2019,,,,,,,,,,
خالد شیرزاد دمرمرواوشوکاڼو دمعدن او پروسس شرکت KHALID SHARZAD TALC PRO.CO,13245.0,Afghanistan,2019,Private,1019521010,Mining,,,,13245,AFG,2018-12-21,2019-12-20
خان بابا تالک دمعدن استخراج او پروسس شرکت KHAN BABA TALC PRO.CO,56000.0,Afghanistan,2019,Private,9005356259,Mining,,,,56000,AFG,2018-12-21,2019-12-20
"خان, نور الرحمن",64515.0,Afghanistan,2019,,,,,,,,,,
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,9816986.0,Afghanistan,2019,,,,,,,,,,
دراگن آیل صندوقلی لمیتد DRAGON OIL LTD,340729.0,Afghanistan,2019,Private,9001209627,Other,Crude Oil,Not applicable,Not available,340729,AFG,2018-12-21,2019-12-20
"دوست محمد فرزند محمد شاه, دوست محمد",46649.0,Afghanistan,2019,,,,,,,,,,
سلک رود مایننگ SILK ROAD MINING CO,291089.0,Afghanistan,2019,,,,,,,,,,
سنترال آیزین مایننگ سرویسس کمپنی CENTRAL AIZEEN MINING CO,200.0,Afghanistan,2019,Private,9000580028,Mining,,,,200,AFG,2018-12-21,2019-12-20
سیف الله ناصری د تیږو استخراج او پروسس SAIFULLAH NASERI MINING PRO.CO,2150.0,Afghanistan,2019,Private,9006055124,Mining,,,,2150,AFG,2018-12-21,2019-12-20
سین جیانگ جنگ تونگ  افغانستان  تکنالوژی سرویس کو ال تی دی SEIN JHONG JHENG TONG,41840.0,Afghanistan,2019,,,,,,,,,,
شرکات استخراج و پروسس سنگ مرمر شرق کابل SHARQ KABUL TALC PROCESSING CO,16830.0,Afghanistan,2019,Private,9003257038,Mining,,,,16830,AFG,2018-12-21,2019-12-20
شرکت استانه بابا,1821994.0,Afghanistan,2019,Private,9001044669,Other,Chromite,Not applicable,Not available,1821994,AFG,2018-12-21,2019-12-20
شرکت استحراج و پروسس معدن ناصر تورغر NASER TORGHAR MINING CO,200.0,Afghanistan,2019,Private,9007191928,Mining,,,,200,AFG,2018-12-21,2019-12-20
شرکت استخراج سنگ افغان مروارید لمتید AFGHAN MORWARID STONE MINING LTD,726167.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معادن اترووکابل ATRO KABUL MINING CO,10000.0,Afghanistan,2019,Private,9000225897,Mining,,,,10000,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن افغان اکتیف,729658.0,Afghanistan,2019,Private,9001353375,Other,Chromite,Not applicable,Not available,729658,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن افغان اکتیف لمیتد AFGHAN ACTIVE MINING LTD,0.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معادن افغان ایکو AFGHAN ECHO MINING CO,1300.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معادن النور AL-NOOR MINING CO,10000.0,Afghanistan,2019,Private,9001936682,Mining,,,,10000,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن ایشیا رویال ASIA ROYAL MINING CO,7200.0,Afghanistan,2019,Private,9001026880,Mining,,,,7200,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن بهارکوهساران BAHAR KOHSARAN MINING CO,113050.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معادن ترکیش افغان TURKISH AFGHAN MINING CO,52100.0,Afghanistan,2019,Private,9000542507,Other,Gold,Not applicable,Not available,52100,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن دایمند اسلان هوتک DIAMOND ASLAN HOTAK MINING CO,114800.0,Afghanistan,2019,Private,9001009605,Mining,,,,114800,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن ذغال سنک افراسیاب AFRASYAB COAL MINING CO,5180.0,Afghanistan,2019,Private,9001505461,Other,Coal,Not applicable,Not available,5180,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن ذغال سنگ سردار محمد احمدی SARDAR MOHAMMAD AHMADI COAL MINING CO,34800.0,Afghanistan,2019,Private,9004796430,Mining,,,,34800,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن رویال ROYAL MINING CO,6800.0,Afghanistan,2019,Private,9001658963,Mining,,,,6800,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن ستانه بابا STANA BABA MINING CO,118554.0,Afghanistan,2019,Private,9001044669,Other,Chromite,Not applicable,Not available,118554,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن سنگ برادران رضایی یوسفی لمتید YOSUFI REZAEE LTD,2400.0,Afghanistan,2019,Private,9002865237,Other,Marble,Not applicable,Not available,2400,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن سنگ مروارید نیلی افغان SANG MORWARID NELE AFGHAN MINING CO,37400.0,Afghanistan,2019,Private,9004791191,Other,Marble,Not applicable,Not available,37400,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن عکس AKS MINING CO,35200.0,Afghanistan,2019,Private,9001171967,Mining,,,,35200,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن لیگان LEGAAN MINING CO,50.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معادن مقصودی برادران MAQSOOD BROTHERS MINING CO,100.0,Afghanistan,2019,Private,7004510017,Mining,,,,100,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن ممتاز کوثر لمتید MUMTAZ KAWSAR MINING LTD,0.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معادن میرزاده MIRZADA MINING CO,1250.0,Afghanistan,2019,Private,9001676882,Mining,,,,1250,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن هاشمی,892045.0,Afghanistan,2019,Private,9000174517,Other,Chromite,Not applicable,Not available,892045,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن هیواد برادرز HEWAD BROTHERS MINING CO,0.0,Afghanistan,2019,Private,9000036856,Other,Chromite,,,-,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن کابل KABUL MINING EXTRACTION COMPANY,100.0,Afghanistan,2019,Private,7007883015,Mining,,,,50,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن کابل شین دانگ مین جایرپروسسینگ کمپنی KABUL SHEEN DANG MAIN JAIR PROCESSING CO,5500.0,Afghanistan,2019,Private,9006621982,Mining,,,,5500,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن کهساران لمتید KOHSARAN MINING LTD,200.0,Afghanistan,2019,Private,9001801845,Mining,,,,200,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن کولت نیمروزافغانستان KOLT NEMROZ AFGHANISTAN MINING CO,4365.0,Afghanistan,2019,Private,9001099671,Mining,,,,4365,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن گولدن گیت GOLDEN GATE MINING CO,0.0,Afghanistan,2019,Private,9001150078,Mining,,,,-,AFG,2018-12-21,2019-12-20
شرکت استخراج معادن یاسمین,88853.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معدن SAT&AFG,6963.0,Afghanistan,2019,Private,1051364014,Mining,,,,6963,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن استرلنگ ESTERLING MINING CO,4450.0,Afghanistan,2019,Private,9000691692,Mining,,,,4450,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن افغان تراورتین AFGHAN TRANWERTIN MINING CO,550.0,Afghanistan,2019,Private,9000641291,Mining,,,,550,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن افغان مس لمتید AFGHAN COPPER MINING CO,12455.0,Afghanistan,2019,Private,9000928359,Mining,,,,12455,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن ایگل راک EAGAL ROCK MINING CO,23691.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معدن تالک شمال گلوبل SHAMAL GLOBAL TALC PROCESSING CO,2000.0,Afghanistan,2019,Private,9002588284,Mining,,,,2000,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن تخت ظفر TAKHT-E-ZAFAR MINING CO,3950.0,Afghanistan,2019,Private,9000848011,Other,Coal,Not applicable,Not available,3950,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن سرویس سنتر سترای ال ال سی SERVICE CENTER ALLC,11900.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معدن سنگ مر مر کوه برش الغزار جاغوری AL-GHAZAR JAGHORI TALC PROCESSING CO,1200.0,Afghanistan,2019,Private,9002299460,Mining,,,,1200,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن ممتاز ورث MOMTAZ WARS MINING CO,1600.0,Afghanistan,2019,Private,9003379147,Mining,,,,1600,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن هرات انصار HEERAT ANSAR MINING CO,1700.0,Afghanistan,2019,Private,9000875147,Mining,,,,1700,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن پارمیس گلوبل PARMIS GLOBAL MINING CO,27744.0,Afghanistan,2019,,,,,,,,,,
شرکت استخراج معدن پامیر ترنک PAMIR TRANG MINING CO,300.0,Afghanistan,2019,Private,9007055388,Other,Construction Stone,Not applicable,Not available,300,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن گربت ولیج GURBAT VILLIGE MINING CO,21350.0,Afghanistan,2019,Private,9003861268,Mining,,,,21350,AFG,2018-12-21,2019-12-20
شرکت استخراج معدن یوسفزی استون YOSOFZAI ASTON MINING CO,9618.0,Afghanistan,2019,Private,9007474621,Mining,,,,9618,AFG,2018-12-21,2019-12-20
شرکت استخراج نمک ناصر امید NASER OMAID SALT CO,2765.0,Afghanistan,2019,Private,9003100998,Mining,,,,2765,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس سنگ تر اورتن طلوع قلب آسیا لمتید TOLO AFTAN ASIA STONE PROCESSING LTD,16050.0,Afghanistan,2019,Private,9002473016,Mining,,,,16050,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس سنگ های قیمتی و نیمه قیمتی مریم صافی MAYAM SAFI GEM STONE PRO.CO,7650.0,Afghanistan,2019,Private,9007456131,Mining,,,,7650,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس معادن افغان فرهاد AFGHAN FARHAD MINING CO,9200.0,Afghanistan,2019,Private,9005363313,Mining,,,,9200,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس معادن افغانستان درخشان AFGHANISTAN DOROKHSHAN MINING CO,250.0,Afghanistan,2019,Private,9005574026,Mining,,,,250,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس معادن بیتا یونایتد BITA UNITED MINING CO,0.0,Afghanistan,2019,Private,7008637014,Other,Gypsum,Not applicable,Not available,-,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس معادن ننگرهار شینگ NENEGARHAR SHENG MINING CO,9400.0,Afghanistan,2019,Private,9006674627,Mining,,,,9400,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس معادن کابل راک,1645313.0,Afghanistan,2019,Private,9007418198,Other,Nephrite,Not applicable,Not available,1645313,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسس مواد معدنی بالا ده خوشی BALA DEH KHOSHI MINING PRO.CO,100.0,Afghanistan,2019,Private,9007730204,Mining,,,,100,AFG,2018-12-21,2019-12-20
شرکت استخراج و پروسیس معادن فضل الرحمن قریشی FAZL RAHMAN QURAISHI MINING CO,900.0,Afghanistan,2019,Private,9005341053,Mining,,,,900,AFG,2018-12-21,2019-12-20
شرکت استخراج وپروسس سنگ بری زرافشان سفید,111128.0,Afghanistan,2019,Private,9002301225,Other,Construction Stone,Not applicable,Not available,111128,AFG,2018-12-21,2019-12-20
شرکت استخراج وپروسس سنگ عرفان غزنوی لمتید URFAN GHAZNAWI STONE PRO LTD,8070.0,Afghanistan,2019,,,,,,,,,,
شرکت اعتماد قره باغ,280379.0,Afghanistan,2019,Private,9000917576,Other,Gravel,Not applicable,Not available,Err:507,AFG,2018-12-21,2019-12-20
شرکت افغان کول ال ال سی AFGHAN COAL LLC,1524979.0,Afghanistan,2019,Private,1029975016,Mining,,,,1524979,AFG,2018-12-21,2019-12-20
شرکت امانیه مایننگ AMANIA MINING COMPANY,22774748.0,Afghanistan,2019,,,,,,,,,,
شرکت امید سباون,302394.0,Afghanistan,2019,Private,9001792929,Other,Construction Stone,Not applicable,Not available,302394,AFG,2018-12-21,2019-12-20
شرکت اکتشاف و استخراج معدن اترس ATRESS MINING CO,300.0,Afghanistan,2019,Private,9006537204,Mining,,,,300,AFG,2018-12-21,2019-12-20
شرکت برادران خالد عزیز,2000000.0,Afghanistan,2019,Private,1019984010,Other,Coal,Not applicable,Not available,2000000,AFG,2018-12-21,2019-12-20
شرکت برادران عادل,2719867.0,Afghanistan,2019,Private,1026557205,Other,Marble,Not applicable,Not available,2719867,AFG,2018-12-21,2019-12-20
شرکت تصفیه نفت سلیم کاروان SALEEM KARWAN MINING CO,0.0,Afghanistan,2019,Private,9000851866,Mining,,,,-,AFG,2018-12-21,2019-12-20
شرکت تولید سنګ مرمر  شمشاد رحمن SHAMSHAD RAHMAN TALC PRO.CO,624234.0,Afghanistan,2019,,,,,,,,,,
