Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Administration des Domaines,Central government,,1966405526.34,Madagascar,MDG,2018,1/1/2018,12/31/2018
Autres,Other,,13512241255.82,Madagascar,MDG,2018,1/1/2018,12/31/2018
Bureau du Cadastre Minier de Madagascar,State-owned enterprises & public corporations,,11003086546.0,Madagascar,MDG,2018,1/1/2018,12/31/2018
Caisse Nationale de Prévoyance Sociale,State-owned enterprises & public corporations,,8972278660.8,Madagascar,MDG,2018,1/1/2018,12/31/2018
Collectivités territoriales décentralisées (Régions et/ou communes),Local government,,97059482.81,Madagascar,MDG,2018,1/1/2018,12/31/2018
Direction Générale des Douanes,Central government,,34278602831.25,Madagascar,MDG,2018,1/1/2018,12/31/2018
Direction Générale des Impôts,Central government,,83326626033.19,Madagascar,MDG,2018,1/1/2018,12/31/2018
Direction Générale des Mines,Central government,,70836852526.7,Madagascar,MDG,2018,1/1/2018,12/31/2018
Office Nationale pour l'Environnement,State-owned enterprises & public corporations,,470473460.1,Madagascar,MDG,2018,1/1/2018,12/31/2018
Office des Mines Nationales et des Industries Stratégiques,State-owned enterprises & public corporations,,3116838286.2,Madagascar,MDG,2018,1/1/2018,12/31/2018
Port: Société de Manutention des Marchandises Conventionnels et/ou Madagascar International Container Terminal Services Limited,Other,,315832259.55,Madagascar,MDG,2018,1/1/2018,12/31/2018
Société du Port à Gestion Autonome de Toamasina,State-owned enterprises & public corporations,,7404793879.22,Madagascar,MDG,2018,1/1/2018,12/31/2018
