Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
General Agency for Health and Social Insurance,State government,9081739,205917599000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
General Agency for Labor Welfare Services,State government,,13761855000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
General Department of Taxation,State government,6097898,1811753990000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
Government agency for policy coordination on state property,State government,6098169,35287247000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
Local administrative,Local government,,67057991000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
Local governor department,Local government,,86132915000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
Mineral Resources and Petroleum Authority,State government,5323533,282788326000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
"Ministry of Environment, Nature and Tourism",State government,9085084,531930000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
Ministry of Finance,State government,9131787,,Mongolia,MNG,2018,1/1/2018,12/31/2018
Mongolian Customs General Administration,State government,6097863,247505544000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
Other,State government,,87964991587.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
State administrative body,State government,,22945310000.0,Mongolia,MNG,2018,1/1/2018,12/31/2018
