Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Agence Nationale d’Encadrement des Exploitations Minières Artisanales et Semi-mécanisées (ANEEMAS),State-owned enterprises & public corporations,,330797354.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Agence nationale des évaluations environnementales (ANEVE),State-owned enterprises & public corporations,,24360362.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Autres bénéficiaires (paiements sociaux),Other,<Use Legal Entity Identifier if available>,8029681450.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Bureau des Mines et de la Géologie du Burkina (BUMIGEB),State-owned enterprises & public corporations,,12960835.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Direction Générale des Douanes (DGD),Central goverment,<Use Legal Entity Identifier if available>,58933085896.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Direction Générale des Impôts (DGI),Central goverment,<Use Legal Entity Identifier if available>,14423193801.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,,73806693186.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Fonds d'Intervention pour l'Environnement (FIE) (paiements environnementaux),Central goverment,<Use Legal Entity Identifier if available>,4263702851.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Office National de Sécurisation des Sites Miniers (ONASSIM),State-owned enterprises & public corporations,,318000000.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Société d'Exploitation des Phosphates du Burkina (SEPB),State-owned enterprises & public corporations,,16167700.0,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
